Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
Arranged - staying with family,Times Consultant,Pakistan,MSc Marketing and Analytics,0.0,0,21250,No,No,Pakistani,Passed,11500.0,0.0,missing,23.8,2022,email_00031,fname_00028,lname_00129
Arranged - private student accommodation,IDP Education,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,30.8,2022,email_00316,fname_00345,lname_00264
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,33.1,2022,email_00115,fname_00106,lname_00076
Arranged - private rental,SI-UK,India,MSc in Finance,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,22.2,2022,email_00235,fname_00221,lname_00124
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Marketing and Strategy,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,23.1,2022,email_00229,fname_00209,lname_00336
Arranged - private rental,Krishna Consultants,India,MSc Artificial Intelligence with Business Strategy- Full Time,0.0,0,20250,No,No,Indian,Passed,2025.0,0.0,missing,24.5,2022,email_00308,fname_00285,lname_00169
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,27.9,2022,email_00176,fname_00394,lname_00152
Arranged - private student accommodation,SI-UK,India,MSc in Data Analytics (including Professional Practice),0.0,0,19900,No,No,Indian,Passed,2000.0,0.0,missing,21.4,2022,email_00059,fname_00054,lname_00243
Arranged - private rental,SI-UK,India,MSc in Data Analytics - Full Time,0.0,0,17400,No,No,Indian,Passed,2000.0,0.0,missing,24.1,2022,email_00032,fname_00029,lname_00117
Arranged - private student accommodation,Krishna Consultants,India,MSc Artificial Intelligence - Full Time,0.0,0,20250,No,No,Indian,Passed,10350.0,0.0,missing,29.0,2022,email_00309,fname_00288,lname_00248
Arranged - private rental,IDP Education,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,26.9,2022,email_00081,fname_00227,lname_00058
